Tamanho	Intercala	Merge
590	0.000119	0.000116
591	0.000123	0.000117
592	0.00012	0.000116
593	0.000121	0.000116
594	0.000121	0.000118
595	0.000121	0.000115
596	0.000122	0.000117
597	0.000121	0.000116
598	0.000122	0.000119
599	0.000122	0.000118
600	0.000123	0.000118
601	0.000122	0.000116
602	0.000123	0.00012
603	0.000126	0.000119
604	0.000124	0.00012
605	0.000124	0.000119
606	0.000126	0.00012
607	0.000124	0.00012
608	0.000124	0.00012
609	0.000125	0.00012
610	0.000127	0.00012
611	0.000125	0.000121
612	0.000125	0.000123
613	0.000125	0.000124
614	0.000126	0.000122
615	0.000125	0.000137
616	0.000138	0.000138
617	0.000135	0.000126
618	0.000131	0.000126
619	0.000132	0.000143
620	0.00014	0.000137
621	0.000137	0.000142
622	0.000139	0.000136
623	0.000137	0.000157
624	0.000141	0.000153
625	0.00014	0.000156
626	0.000161	0.000131
627	0.000132	0.000145
628	0.000139	0.000139
629	0.000138	0.000156
630	0.000172	0.000127
631	0.00015	0.000141
632	0.000149	0.000126
633	0.000129	0.000156
634	0.000136	0.00013
635	0.00013	0.000127
636	0.000148	0.000127
637	0.000129	0.000126
638	0.00013	0.000127
639	0.000129	0.00013
640	0.00013	0.000147
641	0.000143	0.00014
642	0.000135	0.000144
643	0.000162	0.000133
644	0.000131	0.000143
645	0.000138	0.000149
646	0.000144	0.000144
647	0.000152	0.000143
648	0.000132	0.000136
649	0.000181	0.000131
650	0.000132	0.00015
651	0.000237	0.000145
652	0.000216	0.000131
653	0.000157	0.000131
654	0.000134	0.000131
655	0.000137	0.000132
656	0.000135	0.000134
657	0.000136	0.000132
658	0.000136	0.000132
659	0.000136	0.000133
660	0.000139	0.000132
661	0.000136	0.000133
662	0.000136	0.000146
663	0.000143	0.000135
664	0.000137	0.000134
665	0.000152	0.000133
666	0.00014	0.000133
667	0.000137	0.000134
668	0.000137	0.000134
669	0.00014	0.000138
670	0.000137	0.000134
671	0.000157	0.000134
672	0.000138	0.000138
673	0.000138	0.000134
674	0.000138	0.000134
675	0.000139	0.000136
676	0.000142	0.000137
677	0.000138	0.000133
678	0.00014	0.000138
679	0.00014	0.000138
680	0.00014	0.000137
681	0.000139	0.000138
682	0.000141	0.00014
683	0.000144	0.000139
684	0.000141	0.000138
685	0.000141	0.000137
686	0.000144	0.000139
687	0.000142	0.000138
688	0.000142	0.000138
689	0.000143	0.000141
690	0.000142	0.000139
691	0.000143	0.000139
692	0.000143	0.000141
693	0.000143	0.00014
694	0.000144	0.00014
695	0.000143	0.00014
696	0.000144	0.00014
697	0.000145	0.000139
698	0.000143	0.000139
699	0.000146	0.000141
700	0.000144	0.000141
701	0.000146	0.000142
702	0.000164	0.000145
703	0.000148	0.000146
704	0.000149	0.000145
705	0.000144	0.000163
706	0.000163	0.00016
707	0.000151	0.000164
708	0.000157	0.000146
709	0.000149	0.000147
710	0.00015	0.000145
711	0.000149	0.000164
712	0.000163	0.000159
713	0.000174	0.000155
714	0.000151	0.000151
715	0.000151	0.000166
716	0.000162	0.00016
717	0.000153	0.000147
718	0.000184	0.000147
719	0.000174	0.000148
720	0.000149	0.000159
721	0.000163	0.00015
722	0.00017	0.000179
723	0.000201	0.000162
